Time  s.  d...  o
1119  101  01011111  1
1120  101  01100000  0
1121  101  01100001  0
1122  101  01100010  0
1123  101  01100011  0
1124  101  01100100  1
1125  101  01100101  1
1126  101  01100110  1
1127  101  01100111  1
1128  101  01101000  0
1129  101  01101001  0
1130  101  01101010  0
1131  101  01101011  0
1132  101  01101100  1
1133  101  01101101  1
1134  101  01101110  1
1135  101  01101111  1
1136  101  01110000  0
1137  101  01110001  0
1138  101  01110010  0
1139  101  01110011  0
1140  101  01110100  1
1141  101  01110101  1
1142  101  01110110  1
1143  101  01110111  1
1144  101  01111000  0
1145  101  01111001  0
1146  101  01111010  0
1147  101  01111011  0
1148  101  01111100  1
1149  101  01111101  1
1150  101  01111110  1
1151  101  01111111  1
1152  101  10000000  0
1153  101  10000001  0
1154  101  10000010  0
1155  101  10000011  0
1156  101  10000100  1
1157  101  10000101  1
1158  101  10000110  1
1159  101  10000111  1
1160  101  10001000  0
1161  101  10001001  0
1162  101  10001010  0
1163  101  10001011  0
1164  101  10001100  1
1165  101  10001101  1
1166  101  10001110  1
1167  101  10001111  1
1168  101  10010000  0
1169  101  10010001  0
1170  101  10010010  0
1171  101  10010011  0
1172  101  10010100  1
1173  101  10010101  1
1174  101  10010110  1
1175  101  10010111  1
1176  101  10011000  0
1177  101  10011001  0
1178  101  10011010  0
1179  101  10011011  0
1180  101  10011100  1
1181  101  10011101  1
1182  101  10011110  1
1183  101  10011111  1
1184  101  10100000  0
1185  101  10100001  0
1186  101  10100010  0
1187  101  10100011  0
1188  101  10100100  1
1189  101  10100101  1
1190  101  10100110  1
1191  101  10100111  1
1192  101  10101000  0
1193  101  10101001  0
1194  101  10101010  0
1195  101  10101011  0
1196  101  10101100  1
1197  101  10101101  1
1198  101  10101110  1
1199  101  10101111  1
1200  101  10110000  0
1201  101  10110001  0
1202  101  10110010  0
1203  101  10110011  0
1204  101  10110100  1
1205  101  10110101  1
1206  101  10110110  1
1207  101  10110111  1
1208  101  10111000  0
1209  101  10111001  0
1210  101  10111010  0
1211  101  10111011  0
1212  101  10111100  1
1213  101  10111101  1
1214  101  10111110  1
1215  101  10111111  1
1216  101  11000000  0
1217  101  11000001  0
1218  101  11000010  0
1219  101  11000011  0
1220  101  11000100  1
1221  101  11000101  1
1222  101  11000110  1
1223  101  11000111  1
1224  101  11001000  0
1225  101  11001001  0
1226  101  11001010  0
1227  101  11001011  0
1228  101  11001100  1
1229  101  11001101  1
1230  101  11001110  1
1231  101  11001111  1
1232  101  11010000  0
1233  101  11010001  0
1234  101  11010010  0
1235  101  11010011  0
1236  101  11010100  1
1237  101  11010101  1
1238  101  11010110  1
1239  101  11010111  1
1240  101  11011000  0
1241  101  11011001  0
1242  101  11011010  0
1243  101  11011011  0
1244  101  11011100  1
1245  101  11011101  1
1246  101  11011110  1
1247  101  11011111  1
1248  101  11100000  0
1249  101  11100001  0
1250  101  11100010  0
1251  101  11100011  0
1252  101  11100100  1
1253  101  11100101  1
1254  101  11100110  1
1255  101  11100111  1
1256  101  11101000  0
1257  101  11101001  0
1258  101  11101010  0
1259  101  11101011  0
1260  101  11101100  1
1261  101  11101101  1
1262  101  11101110  1
1263  101  11101111  1
1264  101  11110000  0
1265  101  11110001  0
